// ObjectToolbox::init disassembly trace
// fn @ 0x348d70, body=163323 bytes

// === ID → texture pairs ===
// format: <id>	<texture>

1252	pit_01_slope_02_001.png
1256	pit_01_low_001.png
1260	pit_01_slope_01_001.png
1264	pit_01_slope_02_001.png
1268	pit_01_low_001.png
1272	pit_04_slope_01_001.png
1276	pit_04_slope_02_001.png
1280	pit_04_low_001.png
1284	pit_04_slope_01_001.png
1288	pit_04_slope_02_001.png
1292	pit_04_low_001.png
1296	plank_01_02_001.png
1300	plank_01_03_001.png
1304	blockOutline_14_001.png
1308	blockOutline_15_001.png
1312	plank_01_square_01_001.png
1316	plank_01_square_02_001.png
1320	plank_01_001.png
1324	plank_01_02_001.png
1328	plank_01_03_001.png
1332	blockOutline_14_001.png
1336	blockOutline_15_001.png
1340	plank_01_square_01_001.png
1344	plank_01_square_02_001.png
1348	square_01_small_001.png
1352	plank_01_small_001.png
1356	d_rotatingBall_01_001.png
1360	d_rotatingBall_02_001.png
1364	d_rotatingBall_03_001.png
1368	d_rotatingBall_04_001.png
1372	spike_04_001.png
1376	fakeSpike_04_001.png
1380	d_geometric_01_001.png
1384	d_geometric_02_001.png
1388	d_geometric_03_001.png
1392	darkblade_01_001.png
1396	darkblade_02_001.png
1400	darkblade_03_001.png
1404	darkblade_01_001.png
1408	darkblade_02_001.png
1412	darkblade_03_001.png
1416	d_grass_01_001.png
1420	d_grass_02_001.png
1424	d_grass_03_001.png
1428	d_grass_04_001.png
1432	d_grass_05_001.png
1436	d_link_b_01_001.png
1440	d_link_b_02_001.png
1444	d_link_b_03_001.png
1448	d_link_b_04_001.png
1452	d_link_b_05_001.png
1456	d_link_b_06_001.png
1460	d_spikeWave_01_001.png
1464	d_spikeWave_02_001.png
1468	pit_05_001.png
1472	pit_05_02_001.png
1476	pit_06_001.png
1480	pit_06_2_001.png
1484	pit_05_001.png
1488	pit_05_02_001.png
1492	pit_05_03_001.png
1496	pit_06_001.png
1500	pit_06_2_001.png
1504	d_pit06wave_01_001.png
1508	d_pit06wave_02_001.png
1512	d_pillar_01_001.png
1516	d_pillar_02_001.png
1520	d_pillar_03_001.png
1524	d_link_c_01_001.png
1528	d_link_c_02_001.png
1532	d_link_c_03_001.png
1536	d_link_c_04_001.png
1540	d_link_c_05_001.png
1544	blockOutline_01_001.png
1548	blockOutline_02_001.png
1552	blockOutline_03_001.png
1556	blockOutline_04_001.png
1560	blockOutline_05_001.png
1564	blockOutline_06_001.png
1568	blockOutline_07_001.png
1572	blockOutline_08_001.png
1576	blockOutline_09_001.png
1580	block001_01_001.png
1584	block001_02_001.png
1588	block001_03_001.png
1592	block001_04_001.png
1596	block001_05_001.png
1600	block001_06_001.png
1604	block001_07_001.png
1608	blockOutline_14_001.png
1612	blockOutline_15_001.png
1616	block002_01_001.png
1620	block002_02_001.png
1624	block002_03_001.png
1628	block002_04_001.png
1632	block002_05_001.png
1636	block002_06_001.png
1640	block002_07_001.png
1644	blockOutline_14_001.png
1648	blockOutline_15_001.png
1652	d_swirve_03_001.png
1656	d_swirve_04_001.png
1660	d_03_chain_01_001.png
1664	d_03_chain_02_001.png
1668	d_gradient_01_001.png
1672	d_gradient_02_001.png
1676	d_gradient_03_001.png
1680	d_gradient_04_001.png
1684	d_gradient_05_001.png
1688	d_gradient_06_001.png
1692	blockOutline_14_001.png
1696	blockOutline_15_001.png
1700	d_gradient_b_02_001.png
1704	d_gradient_b_03_001.png
1708	d_gradient_b_04_001.png
1712	d_gradient_b_05_001.png
1716	d_gradient_b_06_001.png
1720	blockOutline_14_001.png
1724	blockOutline_15_001.png
1728	d_gradient_c_01_001.png
1732	d_gradient_c_02_001.png
1736	d_gradient_c_03_001.png
1740	d_gradient_c_04_001.png
1744	d_gradient_c_05_001.png
1748	d_gradient_c_06_001.png
1752	blockOutline_14_001.png
1756	blockOutline_15_001.png
1760	emptyFrame.png
1764	emptyFrame.png
1768	emptyFrame.png
1772	persp_outline_01_001.png
1776	persp_outline_02_001.png
1780	persp_outline_03_001.png
1784	persp_outline_04_001.png
1788	persp_outline_05_001.png
1792	persp_outline_06_001.png
1796	persp_outline_07_001.png
1800	persp_outline_08_001.png
1804	persp_outline_09_001.png
1808	persp_outline_01_001.png
1812	persp_outline_02_001.png
1816	persp_outline_03_001.png
1820	persp_outline_04_001.png
1824	persp_outline_05_001.png
1828	persp_outline_06_001.png
1832	persp_outline_07_001.png
1836	persp_outline_08_001.png
1840	persp_outline_09_001.png
1844	persp_outline_01_001.png
1848	persp_outline_02_001.png
1852	persp_outline_03_001.png
1856	persp_outline_04_001.png
1860	persp_outline_05_001.png
1864	persp_outline_06_001.png
1868	persp_outline_07_001.png
1872	persp_outline_08_001.png
1876	persp_outline_09_001.png
1880	persp_outline_01_001.png
1884	persp_outline_02_001.png
1888	persp_outline_03_001.png
1892	persp_outline_04_001.png
1896	persp_outline_05_001.png
1900	persp_outline_06_001.png
1904	persp_outline_07_001.png
1908	persp_outline_08_001.png
1912	persp_outline_09_001.png
1916	persp_outline_01_001.png
1920	persp_outline_02_001.png
1924	persp_outline_03_001.png
1928	persp_outline_04_001.png
1932	persp_outline_05_001.png
1936	persp_outline_06_001.png
1940	persp_outline_07_001.png
1944	persp_outline_08_001.png
1948	persp_outline_09_001.png
1952	persp_outline_01_001.png
1956	persp_outline_02_001.png
1960	persp_outline_03_001.png
1964	persp_outline_04_001.png
1968	persp_outline_05_001.png
1972	persp_outline_06_001.png
1976	persp_outline_07_001.png
1980	persp_outline_08_001.png
1984	persp_outline_09_001.png
1988	persp_outline_01_001.png
1992	persp_outline_02_001.png
1996	persp_outline_03_001.png
2000	persp_outline_04_001.png
2004	persp_outline_05_001.png
2008	persp_outline_06_001.png
2012	persp_outline_07_001.png
2016	persp_outline_08_001.png
2020	persp_outline_09_001.png
2024	persp_outline_01_001.png
2028	persp_outline_02_001.png
2032	persp_outline_03_001.png
2036	persp_outline_04_001.png
2040	persp_outline_05_001.png
2044	persp_outline_06_001.png
2048	persp_outline_07_001.png
2052	persp_outline_08_001.png
2056	persp_outline_09_001.png
2060	persp_outline_01_001.png
2064	persp_outline_02_001.png
2068	persp_outline_03_001.png
2072	persp_outline_04_001.png
2076	persp_outline_05_001.png
2080	persp_outline_06_001.png
2084	persp_outline_07_001.png
2088	persp_outline_08_001.png
2092	persp_outline_09_001.png
2096	persp_outline_01_001.png
2100	persp_outline_02_001.png
2104	persp_outline_03_001.png
2108	persp_outline_04_001.png
2112	persp_outline_05_001.png
2116	persp_outline_06_001.png
2120	persp_outline_07_001.png
2124	persp_outline_08_001.png
2128	persp_outline_09_001.png
2132	persp_outline_01_001.png
2136	persp_outline_02_001.png
2140	persp_outline_03_001.png
2144	persp_outline_04_001.png
2148	persp_outline_05_001.png
2152	persp_outline_06_001.png
2156	persp_outline_07_001.png
2160	persp_outline_08_001.png
2164	persp_outline_09_001.png
2168	persp_outline_01_001.png
2172	persp_outline_02_001.png
2176	persp_outline_03_001.png
2180	persp_outline_04_001.png
2184	persp_outline_05_001.png
2188	persp_outline_06_001.png
2192	persp_outline_07_001.png
2196	persp_outline_08_001.png
2200	persp_outline_09_001.png
2204	persp_outline_01_001.png
2208	persp_outline_02_001.png
2212	persp_outline_03_001.png
2216	persp_outline_04_001.png
2220	persp_outline_05_001.png
2224	persp_outline_06_001.png
2228	persp_outline_07_001.png
2232	persp_outline_08_001.png
2236	persp_outline_09_001.png
2240	persp_outline_01_001.png
2244	persp_outline_02_001.png
2248	persp_outline_03_001.png
2252	persp_outline_04_001.png
2256	persp_outline_05_001.png
2260	persp_outline_06_001.png
2264	persp_outline_07_001.png
2268	persp_outline_08_001.png
2272	persp_outline_09_001.png
2276	persp_outline_01_001.png
2280	persp_outline_02_001.png
2284	persp_outline_03_001.png
2288	persp_outline_04_001.png
2292	persp_outline_05_001.png
2296	persp_outline_06_001.png
2300	persp_outline_07_001.png
2304	persp_outline_08_001.png
2308	persp_outline_09_001.png
2312	persp_outline_01_001.png
2316	persp_outline_02_001.png
2320	persp_outline_03_001.png
2324	persp_outline_04_001.png
2328	persp_outline_05_001.png
2332	persp_outline_06_001.png
2336	persp_outline_07_001.png
2340	persp_outline_08_001.png
2344	persp_outline_09_001.png
2348	persp_outline_01_001.png
2352	persp_outline_02_001.png
2356	persp_outline_03_001.png
2360	persp_outline_04_001.png
2364	persp_outline_05_001.png
2368	persp_outline_06_001.png
2372	persp_outline_07_001.png
2376	persp_outline_08_001.png
2380	persp_outline_09_001.png
2384	persp_outline_01_001.png
2388	persp_outline_02_001.png
2392	persp_outline_03_001.png
2396	persp_outline_04_001.png
2400	persp_outline_05_001.png
2404	persp_outline_06_001.png
2408	persp_outline_07_001.png
2412	persp_outline_08_001.png
2416	persp_outline_09_001.png
2420	persp_outline_01_001.png
2424	persp_outline_02_001.png
2428	persp_outline_03_001.png
2432	persp_outline_04_001.png
2436	persp_outline_05_001.png
2440	persp_outline_06_001.png
2444	persp_outline_07_001.png
2448	persp_outline_08_001.png
2452	persp_outline_09_001.png
2456	block003_part03_001.png
2460	block003_part04_001.png
2464	block003_part06_001.png
2468	block003_part05_001.png
2472	block003_part01_001.png
2476	block003_part01_001.png
2480	block003_part02_001.png
2484	block003_part01_001.png
2488	block003_part01_001.png
2492	block003_part05_001.png
2496	block003_part04_001.png
2500	blockOutline_14_001.png
2504	blockOutline_15_001.png
2508	d_block04_piece01_001.png
2512	d_block04_piece02_001.png
2516	d_block04_piece03_001.png
2520	d_block04_piece04_001.png
2524	d_block04_piece05_001.png
2528	d_block04_piece06_001.png
2532	d_block04_piece07_001.png
2536	d_block04_piece08_001.png
2540	d_block04_piece09_001.png
2544	d_block04_piece10_001.png
2548	pit_07_001.png
2552	pit_07_shine_001.png
2556	pit_07_2_001.png
2560	pit_07_2_shine_001.png
2564	pit_07_3_001.png
2568	pit_07_3_shine_001.png
2572	pit_07_4_001.png
2576	pit_07_4_shine_001.png
2580	pit_07_001.png
2584	pit_07_2_001.png
2588	pit_07_3_001.png
2592	pit_07_4_001.png
2596	d_pixelArt01_001_001.png
2600	d_pixelArt01_002_001.png
2604	d_pixelArt01_003_001.png
2608	d_pixelArt01_004_001.png
2612	d_pixelArt01_005_001.png
2616	d_pixelArt01_001_001.png
2620	d_pixelArt01_002_001.png
2624	d_pixelArt01_003_001.png
2628	d_pixelArt01_004_001.png
2632	d_pixelArt01_005_001.png
2636	d_pixelArt01_006_001.png
2640	invis_triangle_02_001.png
2644	invis_triangle_04_001.png
2648	blackCogwheel_01_001.png
2652	blackCogwheel_02_001.png
2656	blackCogwheel_03_001.png
2660	blackCogwheel_01_001.png
2664	blackCogwheel_02_001.png
2668	blackCogwheel_03_001.png
2672	lightBlade_01_001.png
2676	lightBlade_02_001.png
2680	lightBlade_03_001.png
2684	spinBlade01_001.png
2688	spinBlade02_001.png
2692	blockOutline_10_001.png
2696	blockOutline_11_001.png
2700	blockOutline_12_001.png
2704	blockOutline_13_001.png
2708	blockOutline_14_001.png
2712	blockOutline_15_001.png
2716	blockOutline_14_001.png
2720	blockOutline_15_001.png
2724	triangle_a_02_001.png
2728	triangle_a_04_001.png
2732	triangle_c_02_001.png
2736	triangle_c_04_001.png
2740	triangle_d_02_001.png
2744	triangle_d_04_001.png
2748	lighttriangle_01_02_color_001.png
2752	lighttriangle_01_04_color_001.png
2756	triangle_f_02_001.png
2760	triangle_f_04_001.png
2764	triangle_g_02_001.png
2768	triangle_g_04_001.png
2772	lighttriangle_01_02_color_001.png
2776	lighttriangle_01_04_color_001.png
2780	lighttriangle_02_02_color_001.png
2784	lighttriangle_02_04_color_001.png
2788	lighttriangle_03_02_color_001.png
2792	lighttriangle_03_04_color_001.png
2796	lighttriangle_04_02_color_001.png
2800	lighttriangle_04_04_color_001.png
2804	lighttriangle_05_02_color_001.png
2808	lighttriangle_05_04_color_001.png
2812	block001_slope_01_001.png
2816	block001_slope_02_001.png
2820	block002_slope_01_001.png
2824	block002_slope_02_001.png
2828	block003_slope_01_001.png
2832	block003_slope_02_001.png
2836	blockOutline_14_001.png
2840	blockOutline_15_001.png
2844	blockOutline_14_001.png
2848	blockOutline_15_001.png
2852	block004_slope_01_001.png
2856	block004_slope_02_001.png
2860	block004_slope_01b_001.png
2864	block004_slope_02b_001.png
2868	edit_eTintCol01Btn_001.png
2872	d_link_b_01_color_001.png
2876	blockOutline_14_001.png
2880	blockOutline_15_001.png
2884	blockOutline_14_001.png
2888	blockOutline_15_001.png
2892	block004_slope_01c_001.png
2896	block004_slope_02c_001.png
2900	block004_slope_01d_001.png
2904	block004_slope_02d_001.png
2908	d_block04_piece11_001.png
2912	d_block04_piece12_001.png
2916	d_block04_piece13_001.png
2920	square_g_12_001.png
2924	d_pixelArt01_006_001.png
2928	blade_01_001.png
2932	blade_02_001.png
2936	blade_03_001.png
2940	portal_14_front_001.png
2944	portal_15_front_001.png
2948	portal_16_front_001.png
2952	portal_16_front_001.png
2956	portal_15_front_001.png
2960	portal_17_front_001.png
2964	block005_02_001.png
2968	block005_03_001.png
2972	block005_04_001.png
2976	block005_05_001.png
2980	block005_06_001.png
2984	block005_07_001.png
2988	block005_08_001.png
2992	block005_09_001.png
2996	block005_10_001.png
3000	block005_11_001.png
3004	block005_12_001.png
3008	block005_13_001.png
3012	block005_16_001.png
3016	block005_17_001.png
3020	block005_02b_001.png
3024	block005_04b_001.png
3028	block005_slope_01_001.png
3032	block005_slope_02_001.png
3036	block005_slope_03_001.png
3040	block005_slope_04_001.png
3044	block005_slope_05_001.png
3048	block005_slope_06_001.png
3052	block005_slope_square_01_001.png
3056	block005_slope_square_02_001.png
3060	block005_slope_square_03_001.png
3064	block005_slope_square_04_001.png
3068	block005_slope_square_05_001.png
3072	d_spikeWave_03_001.png
3076	pit_05_03_001.png
3080	plank005_01_001.png
3084	plank005_02_001.png
3088	plank005_slope_01_001.png
3092	plank005_slope_02_001.png
3096	plank005_slope_square_01_001.png
3100	plank005_slope_square_02_001.png
3104	plank005_slope_square_03_001.png
3108	block006_01_001.png
3112	block006_02_001.png
3116	block006_03_001.png
3120	block006_04_001.png
3124	block006_05_001.png
3128	block006_06_001.png
3132	block006_07_001.png
3136	block006_08_001.png
3140	block006_09_001.png
3144	block006_10_001.png
3148	block006_11_001.png
3152	block006_12_001.png
3156	block006_13_001.png
3160	block006_14_001.png
3164	block006_15_001.png
3168	block006_16_001.png
3172	block006_17_001.png
3176	block006_18_001.png
3180	block006_19_001.png
3184	block006_20_001.png
3188	block006_21_001.png
3192	block006_22_001.png
3196	block006_23_001.png
3200	block006_24_001.png
3204	block006_25_001.png
3208	block006_26_001.png
3212	block006_slope_01_001.png
3216	block006_slope_02_001.png
3220	block006_slope_square_01_001.png
3224	block006_slope_square_02_001.png
3228	block006_slope_square_03_001.png
3232	block006_slope_square_04_001.png
3236	block007_01_001.png
3240	block007_01_001.png
3244	block007_02_001.png
3248	block007_02_001.png
3252	block007_03_001.png
3256	block007_03_001.png
3260	block007_04_001.png
3264	block007_04_001.png
3268	block007_05_001.png
3272	block007_05_001.png
3276	block007_06_001.png
3280	block007_06_001.png
3284	block007_07_001.png
3288	block007_07_001.png
3292	block007_08_001.png
3296	block007_08_001.png
3300	block007_09_001.png
3304	block007_09_001.png
3308	block007_09_001.png
3312	block007_slope_01_001.png
3316	block007_slope_01_001.png
3320	block007_slope_02_001.png
3324	block007_slope_02_001.png
3328	block007_slope_square_01_001.png
3332	block007_slope_square_01_001.png
3336	block007_slope_square_02_001.png
3340	block007_slope_square_02_001.png
3344	block007b_01_001.png
3348	block007b_05_001.png
3352	block007b_03_001.png
3356	block007b_03_001.png
3360	block007b_05_001.png
3364	block007b_06_001.png
3368	block007b_07_001.png
3372	block007b_08_001.png
3376	block008_02_001.png
3380	block008_03_001.png
3384	block008_04_001.png
3388	block008_05_001.png
3392	block008_06_001.png
3396	block008_07_001.png
3400	block008_08_001.png
3404	block008_09_001.png
3408	block008_10_001.png
3412	block008_11_001.png
3416	block008_topcolor_01_001.png
3420	block008_topcolor_29_001.png
3424	block008_topcolor_15_001.png
3428	block008_topcolor_16_001.png
3432	block008_topcolor_18_001.png
3436	block008_topcolor_24b_001.png
3440	block008_topcolor_24b_001.png
3444	block008_topcolor_02_001.png
3448	block008_topcolor_06_001.png
3452	block008_topcolor_07_001.png
3456	block008_topcolor_08_001.png
3460	block008_topcolor_10_001.png
3464	block008_topcolor_11_001.png
3468	block009_01_001.png
3472	block009_02_001.png
3476	block009_03_001.png
3480	block009_04_001.png
3484	block009_05_001.png
3488	block009_06_001.png
3492	block009_07_001.png
3496	block009_08_001.png
3500	block009_part_01_001.png
3504	block009_part_02_001.png
3508	block009b_01_001.png
3512	block009b_02_001.png
3516	block009b_03_001.png
3520	block009b_04_001.png
3524	block009b_05_001.png
3528	block009b_06_001.png
3532	block009b_07_001.png
3536	blockOutline_14_001.png
3540	blockOutline_15_001.png
3544	block009c_01_001.png
3548	block009c_02_001.png
3552	block009c_04_001.png
3556	block009c_05_001.png
3560	block009c_base_001.png
3564	block009c_base_001.png
3568	block009c_base_001.png
3572	block009c_base_001.png
